"","x"
"354","ENSSSCG00000033293"
"355","ENSSSCG00000033392"
"356","ENSSSCG00000033512"
"357","ENSSSCG00000033539"
"358","ENSSSCG00000033648"
"359","ENSSSCG00000033682"
"360","ENSSSCG00000033689"
"361","ENSSSCG00000033809"
"362","ENSSSCG00000033822"
"363","ENSSSCG00000033894"
"364","ENSSSCG00000034049"
"365","ENSSSCG00000034291"
"366","ENSSSCG00000034431"
"367","ENSSSCG00000034441"
"368","ENSSSCG00000034598"
"369","ENSSSCG00000034615"
"370","ENSSSCG00000034858"
"371","ENSSSCG00000035069"
"372","ENSSSCG00000035152"
"373","ENSSSCG00000035369"
"374","ENSSSCG00000035371"
"375","ENSSSCG00000035403"
"376","ENSSSCG00000035594"
"377","ENSSSCG00000035602"
"378","ENSSSCG00000035649"
"379","ENSSSCG00000035772"
"380","ENSSSCG00000035798"
"381","ENSSSCG00000035876"
"382","ENSSSCG00000035904"
"383","ENSSSCG00000035996"
"384","ENSSSCG00000036049"
"385","ENSSSCG00000036208"
"386","ENSSSCG00000036257"
"387","ENSSSCG00000036474"
"388","ENSSSCG00000036537"
"389","ENSSSCG00000036613"
"390","ENSSSCG00000036724"
"391","ENSSSCG00000036775"
"392","ENSSSCG00000036963"
"393","ENSSSCG00000037013"
"394","ENSSSCG00000037096"
"395","ENSSSCG00000037120"
"396","ENSSSCG00000037188"
"397","ENSSSCG00000037336"
"398","ENSSSCG00000037425"
"399","ENSSSCG00000037617"
"400","ENSSSCG00000037646"
"401","ENSSSCG00000037669"
"402","ENSSSCG00000037701"
"403","ENSSSCG00000037739"
"404","ENSSSCG00000037832"
"405","ENSSSCG00000038056"
"406","ENSSSCG00000038094"
"407","ENSSSCG00000038095"
"408","ENSSSCG00000038151"
"409","ENSSSCG00000038323"
"410","ENSSSCG00000038492"
"411","ENSSSCG00000038550"
"412","ENSSSCG00000038768"
"413","ENSSSCG00000038844"
"414","ENSSSCG00000038857"
"415","ENSSSCG00000038901"
"416","ENSSSCG00000038966"
"417","ENSSSCG00000038969"
"418","ENSSSCG00000039054"
"419","ENSSSCG00000039322"
