"","PC_L30_1.2_En.degree","PC_L30_1.2_En.betweenness","PC_L30_1.2_En.closeness","PC_L30_1.2_En.eigenCentrality","PC_L30_1.2_En.nNeg","PC_L30_1.2_En.nPos","PC_L30_1.2_En.mutualInfo","PC_L30_1.2_En.variance","PC_L30_1.2_En.partialVar","PC_L70_1.2_En.degree","PC_L70_1.2_En.betweenness","PC_L70_1.2_En.closeness","PC_L70_1.2_En.eigenCentrality","PC_L70_1.2_En.nNeg","PC_L70_1.2_En.nPos","PC_L70_1.2_En.mutualInfo","PC_L70_1.2_En.variance","PC_L70_1.2_En.partialVar"
"ENSSSCG00000013604",40,1.26935312831389,0.0125,0.778170364891231,24,16,0.00160491394767138,1.0016062025113,1,57,28.7100840336135,0.0158730158730159,0.999999999999999,29,28,0.000579147055244547,1.00057931479328,1
"ENSSSCG00000014110",34,1.21138211382114,0.0116279069767442,0.588930929462063,14,20,0.00134146614247699,1.00134236631065,1,41,1.28525980911983,0.0126582278481013,0.790111447408789,20,21,0.000655860490550532,1.00065607561408,1
"ENSSSCG00000014818",34,1.21138211382114,0.0116279069767442,0.588930929462063,21,13,0.00134146614247698,1.00134236631064,1,41,1.28525980911983,0.0126582278481013,0.790111447408789,22,19,0.00065586049055075,1.00065607561408,1
"ENSSSCG00000015049",40,1.26935312831389,0.0125,0.778170364891231,17,23,0.0016049139476682,1.00160620251131,1,57,28.7100840336135,0.0158730158730159,0.999999999999999,29,28,0.00057914705524019,1.00057931479328,1
"ENSSSCG00000015091",57,33.5022101823186,0.0158730158730159,1,25,32,0.0013733656307452,1.00137430912921,1,41,1.28525980911983,0.0126582278481013,0.790111447408789,20,21,0.000655860490550313,1.00065607561408,1
"ENSSSCG00000015126",36,3.45076686907277,0.0119047619047619,0.625136900327131,15,21,0.00137701585798871,1.00137796437966,1,57,28.7100840336135,0.0158730158730159,0.999999999999999,29,28,0.000579147055242153,1.00057931479328,1
"ENSSSCG00000016504",34,1.21138211382114,0.0116279069767442,0.588930929462063,21,13,0.00134146614247338,1.00134236631064,1,35,1.19105691056911,0.0117647058823529,0.611097776132327,12,23,0.000540379531378504,1.00054052556271,1
"ENSSSCG00000016728",37,0,0.0120481927710843,0.730493124398111,21,16,0.00114248573731349,1.00114313862276,1,41,1.28525980911983,0.0126582278481013,0.790111447408789,20,21,0.000655860490560125,1.00065607561408,1
"ENSSSCG00000017433",34,1.21138211382114,0.0116279069767442,0.588930929462063,21,13,0.00134146614247402,1.00134236631065,1,35,1.19105691056911,0.0117647058823529,0.611097776132327,12,23,0.000540379531385696,1.0005405255627,1
"ENSSSCG00000017458",40,1.26935312831389,0.0125,0.778170364891231,17,23,0.00160491394766014,1.0016062025113,1,57,28.7100840336135,0.0158730158730159,0.999999999999999,29,28,0.000579147055253051,1.00057931479328,1
"ENSSSCG00000017490",31,0,0.0112359550561798,0.541253688968943,21,10,0.000993395649292177,1.00099388923018,1,35,1.19105691056911,0.0117647058823529,0.611097776132326,12,23,0.000540379531390276,1.00054052556271,1
"ENSSSCG00000023018",57,33.5022101823186,0.0158730158730159,1,33,24,0.00137336563074606,1.00137430912921,1,35,1.19105691056911,0.0117647058823529,0.611097776132327,12,23,0.000540379531390276,1.00054052556271,1
"ENSSSCG00000024158",41,2.83625067005664,0.0126582278481013,0.791913150452277,25,16,0.00162293616123167,1.00162425383487,1,41,1.28525980911983,0.0126582278481013,0.790111447408789,20,21,0.000655860490562956,1.00065607561408,1
"ENSSSCG00000024892",36,3.45076686907277,0.0119047619047619,0.625136900327131,22,14,0.0013770158579904,1.00137796437966,1,35,1.19105691056911,0.0117647058823529,0.611097776132327,12,23,0.00054037953138875,1.0005405255627,1
"ENSSSCG00000024917",36,3.33897267771201,0.0119047619047619,0.62544892268217,16,20,0.00137676362439612,1.00137771179853,1,35,1.19105691056911,0.0117647058823529,0.611097776132327,24,11,0.00054037953138875,1.0005405255627,1
"ENSSSCG00000025128",57,33.5022101823186,0.0158730158730159,1,25,32,0.00137336563074839,1.00137430912921,1,35,1.19105691056911,0.0117647058823529,0.611097776132327,24,11,0.00054037953138875,1.00054052556271,1
"ENSSSCG00000026345",41,2.69050158769765,0.0126582278481013,0.792326944939736,17,24,0.00162269361045649,1.00162401089015,1,41,1.28525980911983,0.0126582278481013,0.790111447408789,20,21,0.000655860490564483,1.00065607561408,1
"ENSSSCG00000026427",43,25.0355435156519,0.012987012987013,0.701789138240555,23,20,0.00137782732401761,1.00137877696418,1,41,1.28525980911983,0.0126582278481013,0.790111447408789,20,21,0.000655860490564701,1.00065607561408,1
"ENSSSCG00000026680",35,2.15816573955213,0.0117647058823529,0.607506069134304,15,20,0.00135898396478142,1.00135990780194,1,41,1.28525980911983,0.0126582278481013,0.790111447408789,22,19,0.000655860490564916,1.00065607561408,1
"ENSSSCG00000029503",57,33.5022101823186,0.0158730158730159,1,25,32,0.0013733656307539,1.00137430912921,1,57,28.7100840336135,0.0158730158730159,1,29,28,0.000579147055251091,1.00057931479328,1
"ENSSSCG00000029752",34,1.21138211382114,0.0116279069767442,0.588930929462063,14,20,0.00134146614247677,1.00134236631065,1,32,0,0.0113636363636364,0.565270831108313,11,21,0.000413059662717971,1.0004131449836,1
"ENSSSCG00000029763",57,33.5022101823186,0.0158730158730159,1,25,32,0.00137336563075115,1.00137430912921,1,57,28.7100840336135,0.0158730158730159,0.999999999999999,29,28,0.000579147055249345,1.00057931479328,1
"ENSSSCG00000029960",43,25.0355435156519,0.012987012987013,0.701789138240555,23,20,0.00137782732401973,1.00137877696418,1,35,1.19105691056911,0.0117647058823529,0.611097776132326,12,23,0.000540379531385259,1.00054052556271,1
"ENSSSCG00000030561",57,33.5022101823186,0.0158730158730159,1,33,24,0.00137336563075156,1.00137430912921,1,41,1.28525980911983,0.0126582278481013,0.790111447408788,22,19,0.000655860490561648,1.00065607561408,1
"ENSSSCG00000030903",40,1.26935312831389,0.0125,0.778170364891231,17,23,0.00160491394766608,1.0016062025113,1,38,0,0.0121951219512195,0.744284502384775,19,19,0.000478942062335341,1.00047905677341,1
"ENSSSCG00000031345",41,2.69313316664501,0.0126582278481013,0.792334010863126,18,23,0.00162269361016906,1.00162401088986,1,41,1.28525980911983,0.0126582278481013,0.790111447408789,22,19,0.0006558604905623,1.00065607561408,1
